"CASRN"	"Chemical"	"Tc"	"Pc"	"Vc"	"omega"
"100-00-5"	"p-chloronitrobenzene"	751	39.8	432	0.491
"100-01-6"	"p-nitroaniline"	851	44.2	406	0.782
"100-10-7"	"p-dimethylaminobenzaldehyde"	832	30.7	471	0.527
"100-18-5"	"p-diisopropylbenzene"	689	24.5	598	0.39
"100-21-0"	"terephthalic acid"	1113	39.5	424	1.059
"100-25-4"	"p-dinitrobenzene"	803	38.5	434	0.662
"100-36-7"	"N,N-diethyl-1,2-ethanediamine"	663	38.1	408.4	0.65
"100-37-8"	"2-diethylaminoethanol"	592	31.8	401	0.782
"100-39-0"	"(bromomethyl)benzene"	699	43.7	379	0.318
"100-40-3"	"vinylcyclohexene"	599	34.3	379	0.329
"100-41-4"	"ethylbenzene"	617.15	36.09	374	0.304
"100-42-5"	"styrene"	636	38.4	352	0.297
"100-44-7"	"benzyl chloride"	686	39.1	360	0.314
"100-46-9"	"benzylamine"	684	43.2	373	0.401
"100-47-0"	"benzonitrile"	699.35	42.15	313.2	0.366
"100-50-5"	"3-cyclohexene-1-carboxaldehyde"	655	40.3	345	0.364
"100-51-6"	"benzyl alcohol"	720.15	45.5	335	0.367
"100-52-7"	"benzaldehyde"	695	46.5	324	0.313
"100-53-8"	"benzenemethanethiol"	712	40.6	367	0.299
"100-54-9"	"3-pyridinecarbonitrile"	703	41.2	344	0.422
"100-60-7"	"N-methylcyclohexylamine"	622	34.9	393	0.386
"100-61-8"	"N-methylaniline"	701.55	52	373	0.475
"100-63-0"	"phenylhydrazine"	761	49.1	418	0.535
"100-64-1"	"cyclohexanone oxime"	715	46.9	369	0.462
"100-66-3"	"anisole"	645.6	42.5	337	0.35
"100-68-5"	"methyl phenyl sulfide"	710.76	42.06	373.5	0.327
"100-71-0"	"2-ethylpyridine"	636.2	39.8	367	0.357
"100-80-1"	"m-methylstyrene"	657	32.9	407	0.349
"100-97-0"	"methenamine"	837	36.8	402	0.299
"1000-86-8"	"2,4-dimethyl-1,3-pentadiene"	556	34.5	347.8	
"1000-87-9"	"2,4-dimethyl-2,3-pentadiene"	556	34.5	347.8	
"1001-89-4"	"2-chloroheptane"	621.08	26.93	476.5	0.418
"1002-17-1"	"2,9-dimethyldecane"	646.14	18.05	695.5	0.519
"1002-43-3"	"3-methylundecane"	655	18.7	693	0.552
"1002-69-3"	"1-chlorodecane"	679.88	20.38	644.5	0.547
"1002-84-2"	"pentadecanoic acid"	775	16	864	0.959
"10020-43-6"	"2-(octyloxy)ethanol"	672	23.4	624.5	
"10022-50-1"	"nitryl fluoride"	349.5	61.16	109.82	
"10024-78-9"	"4-ethyl-1-methyloctylamine"	664.56	19.66	677.9	0.606
"10024-97-2"	"nitrous oxide"	309.57	72.45	97.4	0.1408
"10025-67-9"	"sulfur monochloride"	659.37	62.75	239.38	0.272
"10025-71-5"	"tellurium dichloride"	1021.54	177.03	125.69	
"10025-78-2"	"silane, trichloro"	479	41.7	268	0.203
"10025-85-1"	"nitrogen trichloride"	564	104	206.9	0.199
"10025-87-3"	"phosphorus oxychloride"	602.15	34.4	201	0.0832
"10025-91-9"	"antimony trichloride"	794	48.2	272	0.171
"10026-01-4"	"osmium (IV) chloride"	1357.65	0	0	
"10026-03-6"	"selenium tetrachloride"	743.95	61.05	277.61	0.269
"10026-04-7"	"silicon tetrachloride"	507	35.9	326	0.2318
